Num of block,Count,Time
4100,9,697
4100,10,749
4200,1,2015
4200,2,682
4200,3,813
4200,4,697
4200,5,755
4200,6,693
4200,7,840
4200,8,703
4200,9,792
4200,10,662
4300,1,1888
4300,2,781
4300,3,821
4300,4,797
4300,5,846
4300,6,616
4300,7,708
4300,8,694
4300,9,820
4300,10,775
4400,1,2632
4400,2,690
4400,3,826
4400,4,762
4400,5,788
4400,6,656
4400,7,829
4400,8,669
4400,9,827
4400,10,768
4500,1,2250
4500,2,870
4500,3,815
4500,4,807
4500,5,692
4500,6,728
4500,7,778
4500,8,854
4500,9,791
4500,10,788
4600,1,2063
4600,2,922
4600,3,709
4600,4,828
4600,5,856
4600,6,782
4600,7,811
4600,8,727
4600,9,878
4600,10,757
4700,1,2502
4700,2,842
4700,3,773
4700,4,818
4700,5,847
4700,6,872
4700,7,778
4700,8,896
4700,9,750
4700,10,868
4800,1,1670
4800,2,838
4800,3,867
4800,4,803
4800,5,827
4800,6,819
4800,7,816
4800,8,857
4800,9,851
4800,10,931
4900,1,2273
4900,2,852
4900,3,876
4900,4,860
4900,5,867
4900,6,835
4900,7,846
4900,8,922
4900,9,889
4900,10,839
5000,1,2346
5000,2,824
5000,3,1043
5000,4,821
5000,5,834
5000,6,882
5000,7,837
5000,8,873
5000,9,787
5000,10,988
5100,1,2081
5100,2,792
5100,3,831
5100,4,959
5100,5,865
5100,6,869
5100,7,898
5100,8,810
5100,9,901
5100,10,873
5200,1,2586
5200,2,920
5200,3,859
5200,4,844
5200,5,859
5200,6,918
5200,7,876
5200,8,912
5200,9,890
5200,10,837
5300,1,2411
5300,2,843
5300,3,915
5300,4,1023
5300,5,897
5300,6,980
5300,7,895
5300,8,871
5300,9,926
5300,10,885
5400,1,2072
5400,2,953
5400,3,910
5400,4,963
5400,5,878
5400,6,894
5400,7,922
5400,8,910
5400,9,922
5400,10,921
5500,1,3003
5500,2,1008
5500,3,934
5500,4,918
5500,5,951
5500,6,932
5500,7,1018
5500,8,894
5500,9,908
5500,10,935
5600,1,2339
5600,2,1075
5600,3,949
5600,4,958
5600,5,1009
5600,6,1081
5600,7,1020
5600,8,896
5600,9,1010
5600,10,984
5700,1,2339
5700,2,903
5700,3,1027
5700,4,926
5700,5,961
5700,6,1018
5700,7,1046
5700,8,968
5700,9,989
5700,10,992
5800,1,2366
5800,2,976
5800,3,955
5800,4,1134
5800,5,948
5800,6,909
5800,7,1023
5800,8,912
5800,9,998
5800,10,947
5900,1,2892
5900,2,934
5900,3,1128
5900,4,1023
5900,5,1144
5900,6,1080
5900,7,1014
5900,8,1063
5900,9,1068
5900,10,1053
6000,1,3035
6000,2,1168
6000,3,1113
6000,4,939
6000,5,1156
6000,6,989
6000,7,1073
6000,8,1022
6000,9,1198
6000,10,1016
6100,1,2203
6100,2,1097
6100,3,1036
6100,4,1100
6100,5,1055
6100,6,1133
6100,7,1082
6100,8,1113
6100,9,1058
6100,10,1124
6200,1,2748
6200,2,1117
6200,3,1024
6200,4,1058
6200,5,1077
6200,6,1052
6200,7,1114
6200,8,1024
6200,9,1090
6200,10,1057
6300,1,2464
6300,2,1146
6300,3,1052
6300,4,1128
6300,5,994
6300,6,998
6300,7,1227
6300,8,993
6300,9,1035
6300,10,1072
6400,1,3104
6400,2,1253
6400,3,1064
6400,4,1173
6400,5,1016
6400,6,1034
6400,7,1157
6400,8,1097
6400,9,1072
6400,10,1118
6500,1,2482
6500,2,1286
6500,3,1127
6500,4,1098
6500,5,1078
6500,6,1082
6500,7,1125
6500,8,1050
6500,9,1087
6500,10,1097
6600,1,2457
6600,2,1262
6600,3,1097
6600,4,1224
6600,5,1111
6600,6,1169
6600,7,1056
6600,8,1146
6600,9,1062
6600,10,1116
6700,1,2782
6700,2,1081
6700,3,1254
6700,4,1143
6700,5,1136
6700,6,1283
6700,7,1122
6700,8,1126
6700,9,1299
6700,10,1226
6800,1,2147
6800,2,1110
6800,3,1206
6800,4,1166
6800,5,1250
6800,6,1132
6800,7,1245
6800,8,1277
6800,9,1158
6800,10,1308
6900,1,3100
6900,2,1323
6900,3,1251
6900,4,1220
6900,5,1215
6900,6,1155
6900,7,1183
6900,8,1333
6900,9,1175
6900,10,1132
7000,1,2353
7000,2,1201
7000,3,1330
7000,4,1138
7000,5,1272
7000,6,1123
7000,7,1263
7000,8,1288
7000,9,1443
7000,10,1198
7100,1,2993
7100,2,1232
7100,3,1258
7100,4,1362
7100,5,1155
7100,6,1298
7100,7,1274
7100,8,1280
7100,9,1113
7100,10,1386
7200,1,2667
7200,2,1119
7200,3,1354
7200,4,1172
7200,5,1317
7200,6,1192
7200,7,1435
7200,8,1308
7200,9,1249
7200,10,1443
7300,1,2775
7300,2,1309
7300,3,1268
7300,4,1433
7300,5,1184
7300,6,1424
7300,7,1287
7300,8,1264
7300,9,1308
7300,10,1236
7400,1,3780
7400,2,1279
7400,3,1318
7400,4,1388
7400,5,1261
7400,6,1266
7400,7,1221
7400,8,1248
7400,9,1468
7400,10,1304
7500,1,3164
7500,2,1461
7500,3,1234
7500,4,1451
7500,5,1313
7500,6,1361
7500,7,1364
7500,8,1236
7500,9,1483
7500,10,1217
7600,1,3310
7600,2,1360
7600,3,1307
7600,4,1412
7600,5,1270
7600,6,1507
7600,7,1248
7600,8,1397
7600,9,1332
7600,10,1324
7700,1,3620
7700,2,1273
7700,3,1296
7700,4,1335
7700,5,1447
7700,6,1272
7700,7,1297
7700,8,1297
7700,9,1464
7700,10,1385
7800,1,3412
7800,2,1281
7800,3,1308
7800,4,1497
7800,5,1381
7800,6,1336
7800,7,1473
7800,8,1354
7800,9,1336
7800,10,1406
7900,1,3312
7900,2,1446
7900,3,1326
7900,4,1372
7900,5,1496
7900,6,1363
7900,7,1299
7900,8,1436
7900,9,1324
7900,10,1383
8000,1,3603
8000,2,1349
8000,3,1358
8000,4,1389
8000,5,1556
8000,6,1428
8000,7,1323
8000,8,1334
8000,9,1506
8000,10,1398
